Country,GDP_growth,GDP_per_capita,Inflation,Unemployment,Debt,Deficit,Current_account
Netherlands,0.632,63749.903,2.66,3.9,47.723,-1.952,9.123
New Zealand,1.047,48530.814,3.094,5.036,47.376,-3.526,-6.026
Nicaragua,3.5,2791.231,5.0,6.763,39.17,0.793,3.067
Niger,10.424,670.104,6.365,,48.911,-4.051,-5.099
Nigeria,3.338,1109.899,26.311,,46.588,-4.604,0.567
North Macedonia,2.7,8847.378,4.0,14.1,54.589,-3.446,-0.828
Norway,1.525,94659.918,3.3,3.8,37.97,14.859,19.468
Oman,1.194,20913.3,1.3,,35.422,3.659,2.718
Pakistan,2.0,1460.74,24.757,8.0,71.803,-7.392,-1.098
Palau,12.4,17441.487,3.101,,80.034,1.922,-26.374
Panama,2.5,19369.476,1.735,8.4,54.148,-3.988,-2.055
Papua New Guinea,4.52,2530.37,4.2,,52.101,-3.978,12.179
Paraguay,3.8,5984.287,3.837,5.995,43.092,-2.86,0.572
Peru,2.538,8290.943,2.328,6.6,33.002,-2.511,-1.128
Philippines,6.163,4130.275,3.583,5.083,56.877,-4.143,-2.155
Poland,3.068,23013.882,5.014,2.928,55.084,-5.455,0.667
Portugal,1.732,28969.288,2.248,6.484,94.668,0.241,1.569
Puerto Rico,-0.2,37171.719,1.9,6.677,17.238,0.214,
Qatar,1.994,81399.515,2.58,,37.264,5.069,15.564
Republic of Congo,4.432,2456.868,3.6,,94.605,4.858,2.54
Romania,2.771,19529.841,6.049,5.6,53.007,-6.246,-7.107
Russia,3.163,14391.176,6.87,3.117,20.762,-1.909,2.714
Rwanda,6.931,988.74,5.8,,69.945,-6.962,-12.123
Samoa,5.35,4839.664,3.563,,29.055,-0.984,-2.061
San Marino,1.3,59405.352,2.264,3.945,68.671,-1.917,2.936
Saudi Arabia,2.554,33039.932,2.257,5.6,27.518,-2.757,0.475
Senegal,8.252,1899.731,3.9,,72.546,-3.944,-8.876
Serbia,3.465,12383.904,4.759,9.4,49.11,-1.969,-3.89
Seychelles,3.229,21875.075,-0.239,3.0,58.341,-1.409,-8.405
Sierra Leone,4.005,526.587,39.118,,69.659,-3.006,-2.792
Singapore,2.1,88446.924,2.979,1.9,162.492,5.122,18.048
Slovak Republic,2.077,25934.992,3.644,5.9,59.294,-5.958,-4.356
Slovenia,2.01,34026.494,2.733,3.721,67.517,-2.977,2.692
Solomon Islands,2.372,2252.633,3.495,,19.795,-3.587,-4.709
Somalia,3.7,775.944,4.8,,,-0.465,-8.657
South Africa,0.879,5974.912,4.863,33.465,75.439,-6.147,-1.78
South Sudan,5.603,421.857,54.754,,48.252,4.085,3.924
Spain,1.897,34045.166,2.674,11.642,106.312,-3.133,2.532
Sri Lanka,-7.824,3341.996,45.214,5.25,115.536,-10.187,-0.994
